,title,description,year,age_limit,rating,minutes,hours,age_limit_encoded
0,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Побег из Шоушенка</span>","Банкир, осужденный за уксорицид, образует дружбу за четверть века с закаленным осужденным, сохраняя при этом его невиновность и пытаясь оставаться надежды на простое сострадание.",1994,16+,9.3,22,2,4
1,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Крёстный отец</span>",Старение патриарха организованной криминальной династии передает контроль над его тайной империей его неохотному сыну.,1972,16+,9.2,55,2,4
2,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тёмный рыцарь</span>","Когда угроза, известная как Джокер, наносит ущерб и хаос народах Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.",2008,14+,9.0,32,2,3
3,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Крёстный отец 2</span>","Ранняя жизнь и карьера Вито Корлеоне в 1920 -х годах изображаются, в то время как его сын Майкл расширяет и подтягивает свою власть в отношении синдиката по семейной преступности.",1974,16+,9.0,22,3,4
4,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">12 рaзгневанных мужчин</span>","Присяжные в суде по делу об убийстве в Нью -Йорке разочарованы одним членом, чей скептически осторожность заставляет их более тщательно рассмотреть доказательства, прежде чем принять поспешное приговор.",1957,16+,9.0,36,1,4
5,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Властелин колец: Возвращение короля</span>","Гандальф и Арагорн ведут мир людей против армии Саурона, чтобы привлечь свой взгляд от Фродо и Сэма, когда они приближаются к Маунт -Дум с одним кольцом.",2003,12+,9.0,21,3,2
6,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Список Шиндлера</span>","В оккупированной немецкой Поль году во время Второй мировой войны промышленный Оскар Шиндлер постепенно заинтересован в своей еврейской рабочей силе после того, как нацисты были свидетелем их преследования со стороны нацистов.",1993,16+,9.0,15,3,4
7,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Криминальное чтиво</span>","Жизнь двух наемников толпы, боксера, гангстера и его жены, и пары закусочных бандитов переплетаются в четырех сказках о насилии и искуплении.",1994,18+,8.9,34,2,5
8,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Властелин колец: Братство кольца</span>","Крутый хоббит из Шира и восемь компаньонов отправился в путешествие, чтобы уничтожить мощное кольцо и спасти Средиземье от Темного лорда Саурона.",2001,12+,8.9,58,2,2
9,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Хороший, плохой, злой</span>","Мошенничество на щедрости присоединяется к двум мужчинам в непростительном союзе против третьего в гонке, чтобы найти целое состояние в золоте, похороненное на отдаленном кладбище.",1966,12+,8.8,41,2,2
10,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Форрест Гамп</span>","История Соединенных Штатов с 1950 -х годов до 70 -х годов разворачивается с точки зрения мужчины из Алабамы с IQ из 75 лет, который жаждет воссоединиться со своей детской возлюбленной.",1994,0+,8.8,22,2,1
11,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Властелин колец: Две крепости</span>","В то время как Фродо и Сэм Эдж ближе к Мордору с помощью Shifty Gollum, разделенное общение выступает против нового союзника Саурона, Сарумана и его полщиков Исигарда.",2002,12+,8.8,59,2,2
12,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Бойцовский клуб</span>","Офисный работник бессонницы и производитель мыльной помощи дьяволам образуют подземный бой-клуб, который превращается в гораздо больше.",1999,18+,8.8,19,2,5
13,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Начало</span>","Вор, который крадет корпоративные секреты с помощью технологии совместного использования мечты, дает обратную задачу посадки идеи в сознание C.E.O., но его трагическое прошлое может обребить профессионал ... прочитать все",2010,12+,8.8,28,2,2
14,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Звёздные войны. Эпизод 5: Империя наносит ответный удар</span>","После того, как Империя одолевает альянс повстанцев, Люк Скайуокер начинает тренироваться с мастером Джедай Йода, в то время как Дарт Вейдер и охотник за головами Боба Фетт преследуют своих друзей через галактику.",1980,0+,8.7,4,2,1
15,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Матрица</span>","Когда прекрасный незнакомец приводит компьютерного хакера Нео к запрещенному подземному миру, он обнаруживает шокирующую правду-жизнь, которую он знает,-это сложный обман злой кибер-интеллекты.",1999,16+,8.7,16,2,4
16,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Славные парни</span>","История Генри Хилла и его жизни в мафии, освещая его отношения с его женой Карен и его партнерами по толпике Джимми Конвея и Томми Девито.",1990,16+,8.7,25,2,4
17,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Пролетая над гнездом кукушки</span>","Осенью 1963 года ветеран Корейской войны и преступник умоляет безумие и поступает в психиатрическое учреждение, где он снимает испуганных пациентов против тиранической медсестры.",1975,16+,8.7,13,2,4
18,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Интерстеллар</span>","Когда в будущем Земля станет необитаемой, фермеру и бывшему пилоту на NASA Джозеф Купер поручено пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.",2014,12+,8.7,49,2,2
19,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Семь</span>","Два детектива, новичок и ветеран, охотятся на серийного убийцы, который использует семь смертельных грехов в качестве своих мотивов.",1995,18+,8.6,7,2,5
20,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Эта замечательная жизнь</span>","Ангела посылают с небес, чтобы помочь отчаянно разочарованному бизнесмену, показав ему, какая жизнь была бы, если бы он никогда не существовал.",1946,PG,8.6,10,2,10
21,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Семь самураев</span>","Фермеры из деревни, эксплуатируемой бандитами, нанимают ветеран -самурай для защиты, и он собирает шесть других самураев, чтобы присоединиться к нему.",1954,Not Rated,8.6,27,3,9
