,title,description,year,age_limit,rating,minutes,hours,age_limit_encoded,clean_tokenised_description,lemmatized_description,topic,topic_name
0,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Побег из Шоушенка</span>","Банкир, осужденный за уксорицид, образует дружбу за четверть века с закаленным осужденным, сохраняя при этом его невиновность и пытаясь оставаться надежды на простое сострадание.",1994,16+,9.3,22,2,4,"['банкир', 'осужденный', 'уксорицид', 'образует', 'дружбу', 'четверть', 'века', 'закаленным', 'осужденным', 'сохраняя', 'невиновность', 'пытаясь', 'оставаться', 'надежды', 'простое', 'сострадание']",банкир осудить уксорицид образовать дружба четверть век закалённый осудить сохранять невиновность пытаться оставаться надежда простой сострадание,3,Криминальные триллеры и полицейские расследования
1,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Крёстный отец</span>",Старение патриарха организованной криминальной династии передает контроль над его тайной империей его неохотному сыну.,1972,16+,9.2,55,2,4,"['старение', 'патриарха', 'организованной', 'криминальной', 'династии', 'передает', 'контроль', 'тайной', 'империей', 'неохотному', 'сыну']",старение патриарх организовать криминальный династия передавать контроль тайна империя неохотный сын,3,Криминальные триллеры и полицейские расследования
2,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тёмный рыцарь</span>","Когда угроза, известная как Джокер, наносит ущерб и хаос народах Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.",2008,14+,9.0,32,2,3,"['угроза', 'известная', 'джокер', 'наносит', 'ущерб', 'хаос', 'народах', 'готэма', 'бэтмен', 'джеймс', 'гордон', 'харви', 'дент', 'должны', 'работать', 'вместе', 'положить', 'конец', 'безумию']",угроза известный джокер наносить ущерб хаос народ готэма бэтмена джеймс гордон харви дента должный работать вместе положить конец безумие,-1,Военные драмы и супергеройские конфликты
3,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Крёстный отец 2</span>","Ранняя жизнь и карьера Вито Корлеоне в 1920 -х годах изображаются, в то время как его сын Майкл расширяет и подтягивает свою власть в отношении синдиката по семейной преступности.",1974,16+,9.0,22,3,4,"['ранняя', 'жизнь', 'карьера', 'вито', 'корлеоне', '1920', 'х', 'годах', 'изображаются', 'время', 'сын', 'майкл', 'расширяет', 'подтягивает', 'власть', 'отношении', 'синдиката', 'семейной', 'преступности']",ранний жизнь карьера вить корлеон 1920 х изображаться время сын майкл расширять подтягивать власть отношение синдикат семейный преступность,3,Криминальные триллеры и полицейские расследования
4,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">12 рaзгневанных мужчин</span>","Присяжные в суде по делу об убийстве в Нью -Йорке разочарованы одним членом, чей скептически осторожность заставляет их более тщательно рассмотреть доказательства, прежде чем принять поспешное приговор.",1957,16+,9.0,36,1,4,"['присяжные', 'суде', 'делу', 'убийстве', 'нью', 'йорке', 'разочарованы', 'одним', 'членом', 'чей', 'скептически', 'осторожность', 'заставляет', 'тщательно', 'рассмотреть', 'доказательства', 'прежде', 'принять', 'поспешное', 'приговор']",присяжный суд дело убийство нью йорк разочаровать член чей скептически осторожность заставлять тщательно рассмотреть доказательство прежде принять поспешный приговор,3,Криминальные триллеры и полицейские расследования
5,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Властелин колец: Возвращение короля</span>","Гандальф и Арагорн ведут мир людей против армии Саурона, чтобы привлечь свой взгляд от Фродо и Сэма, когда они приближаются к Маунт -Дум с одним кольцом.",2003,12+,9.0,21,3,2,"['гандальф', 'арагорн', 'ведут', 'мир', 'людей', 'против', 'армии', 'саурона', 'привлечь', 'взгляд', 'фродо', 'сэма', 'приближаются', 'маунт', 'дум', 'одним', 'кольцом']",гандальф арагорн вести мир человек против армия саурон привлечь взгляд фродый сэм приближаться маунт дума кольцо,1,Эпическая фантастика и космические приключения
6,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Список Шиндлера</span>","В оккупированной немецкой Поль году во время Второй мировой войны промышленный Оскар Шиндлер постепенно заинтересован в своей еврейской рабочей силе после того, как нацисты были свидетелем их преследования со стороны нацистов.",1993,16+,9.0,15,3,4,"['оккупированной', 'немецкой', 'поль', 'году', 'время', 'второй', 'мировой', 'войны', 'промышленный', 'оскар', 'шиндлер', 'постепенно', 'заинтересован', 'своей', 'еврейской', 'рабочей', 'силе', 'нацисты', 'свидетелем', 'преследования', 'стороны', 'нацистов']",оккупировать немецкий поль время второй мировой война промышленный оскар шиндлера постепенно заинтересованный еврейский рабочий сила нацист свидетель преследование сторона нацист,2,Исторические драмы о Второй мировой войне
7,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Криминальное чтиво</span>","Жизнь двух наемников толпы, боксера, гангстера и его жены, и пары закусочных бандитов переплетаются в четырех сказках о насилии и искуплении.",1994,18+,8.9,34,2,5,"['жизнь', 'двух', 'наемников', 'толпы', 'боксера', 'гангстера', 'жены', 'пары', 'закусочных', 'бандитов', 'переплетаются', 'четырех', 'сказках', 'насилии', 'искуплении']",жизнь наёмник толпа боксёр гангстер жена пара закусочный бандит переплетаться четыре сказка насилие искупление,3,Криминальные триллеры и полицейские расследования
8,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Властелин колец: Братство кольца</span>","Крутый хоббит из Шира и восемь компаньонов отправился в путешествие, чтобы уничтожить мощное кольцо и спасти Средиземье от Темного лорда Саурона.",2001,12+,8.9,58,2,2,"['крутый', 'хоббит', 'шира', 'восемь', 'компаньонов', 'отправился', 'путешествие', 'уничтожить', 'мощное', 'кольцо', 'спасти', 'средиземье', 'темного', 'лорда', 'саурона']",круть хоббит шир восемь компаньон отправиться путешествие уничтожить мощный кольцо спасти средиземье тёмный лорд саурон,1,Эпическая фантастика и космические приключения
9,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Хороший, плохой, злой</span>","Мошенничество на щедрости присоединяется к двум мужчинам в непростительном союзе против третьего в гонке, чтобы найти целое состояние в золоте, похороненное на отдаленном кладбище.",1966,12+,8.8,41,2,2,"['мошенничество', 'щедрости', 'присоединяется', 'двум', 'мужчинам', 'непростительном', 'союзе', 'против', 'третьего', 'гонке', 'найти', 'целое', 'состояние', 'золоте', 'похороненное', 'отдаленном', 'кладбище']",мошенничество щедрость присоединяться мужчина непростительный союз против третий гонка найти целое состояние золото похоронить отдалить кладбище,3,Криминальные триллеры и полицейские расследования
